iter	Passed	Remaining
0	80	40034
1	118	29522
2	150	24981
3	181	22469
4	213	21105
5	244	20141
6	278	19597
7	312	19197
8	344	18779
9	377	18502
10	417	18570
11	454	18477
12	489	18323
13	524	18195
14	559	18097
15	596	18031
16	632	17975
17	668	17913
18	702	17787
19	735	17643
20	770	17581
21	806	17513
22	842	17473
23	880	17460
24	917	17439
25	960	17508
26	996	17452
27	1031	17380
28	1068	17358
29	1102	17275
30	1135	17177
31	1208	17679
32	1245	17621
33	1282	17572
34	1318	17521
35	1371	17675
36	1415	17709
37	1450	17629
38	1485	17560
39	1523	17520
40	1560	17467
41	1594	17383
42	1630	17328
43	1664	17252
44	1735	17547
45	1769	17465
46	1806	17411
47	1841	17338
48	1882	17323
49	1916	17247
50	1950	17170
51	1983	17089
52	2016	17008
53	2051	16944
54	2093	16938
55	2127	16870
56	2163	16812
57	2199	16760
58	2234	16704
59	2280	16722
60	2320	16699
61	2353	16626
62	2392	16598
63	2426	16527
64	2459	16462
65	2494	16401
66	2526	16329
67	2559	16263
68	2594	16207
69	2628	16148
70	2661	16080
71	2694	16015
72	2727	15951
73	2762	15903
74	2813	15941
75	2851	15907
76	2894	15902
77	2927	15840
78	2961	15783
79	2994	15719
80	3028	15663
81	3063	15613
82	3095	15552
83	3129	15497
84	3162	15439
85	3195	15385
86	3229	15331
87	3271	15318
88	3313	15303
89	3347	15251
90	3387	15224
91	3428	15204
92	3468	15177
93	3503	15133
94	3536	15078
95	3570	15025
96	3603	14972
97	3639	14928
98	3673	14878
99	3707	14831
100	3741	14781
101	3798	14821
102	3851	14844
103	3888	14806
104	3922	14755
105	3969	14752
106	4004	14707
107	4038	14659
108	4073	14613
109	4107	14564
110	4143	14519
111	4176	14469
112	4210	14419
113	4245	14373
114	4280	14329
115	4313	14279
116	4347	14231
117	4397	14235
118	4431	14189
119	4467	14148
120	4503	14104
121	4538	14061
122	4589	14068
123	4658	14126
124	4748	14245
125	4787	14210
126	4821	14161
127	4864	14137
128	4897	14085
129	4935	14046
130	4970	14000
131	5005	13955
132	5040	13909
133	5074	13858
134	5108	13811
135	5146	13774
136	5194	13764
137	5242	13752
138	5293	13748
139	5332	13710
140	5373	13681
141	5407	13633
142	5444	13592
143	5482	13554
144	5528	13535
145	5583	13538
146	5621	13498
147	5658	13457
148	5693	13413
149	5732	13375
150	5785	13372
151	5825	13336
152	5865	13302
153	5908	13275
154	5945	13232
155	5979	13184
156	6014	13139
157	6051	13098
158	6085	13050
159	6121	13007
160	6171	12995
161	6207	12952
162	6295	13016
163	6381	13074
164	6464	13125
165	6552	13183
166	6636	13232
167	6727	13294
168	6798	13315
169	6840	13278
170	6879	13236
171	6916	13190
172	6953	13143
173	6991	13098
174	7026	13049
175	7061	12999
176	7096	12949
177	7137	12911
178	7170	12858
179	7207	12812
180	7241	12763
181	7277	12716
182	7312	12667
183	7348	12620
184	7389	12582
185	7423	12531
186	7455	12479
187	7489	12429
188	7522	12378
189	7555	12327
190	7588	12276
191	7623	12229
192	7657	12180
193	7691	12131
194	7725	12082
195	7758	12033
196	7792	11985
197	7827	11939
198	7894	11941
199	7971	11956
200	8033	11949
201	8065	11899
202	8098	11848
203	8133	11800
204	8166	11752
205	8200	11703
206	8235	11656
207	8269	11609
208	8303	11561
209	8337	11513
210	8376	11473
211	8409	11424
212	8442	11375
213	8476	11328
214	8510	11281
215	8544	11235
216	8578	11187
217	8613	11142
218	8648	11097
219	8683	11051
220	8741	11036
221	8804	11025
222	8845	10987
223	8880	10941
224	8914	10895
225	8948	10849
226	8984	10804
227	9019	10759
228	9052	10712
229	9084	10664
230	9119	10619
231	9152	10572
232	9185	10525
233	9219	10480
234	9252	10433
235	9286	10388
236	9319	10342
237	9358	10302
238	9391	10255
239	9425	10211
240	9459	10166
241	9493	10121
242	9528	10077
243	9562	10033
244	9596	9988
245	9630	9944
246	9664	9898
247	9697	9854
248	9731	9810
249	9765	9765
250	9799	9721
251	9837	9681
252	9870	9636
253	9903	9591
254	9937	9547
255	9971	9504
256	10005	9460
257	10038	9416
258	10071	9371
259	10107	9329
260	10140	9286
261	10175	9243
262	10208	9199
263	10241	9155
264	10275	9112
265	10308	9068
266	10354	9036
267	10386	8991
268	10422	8950
269	10455	8906
270	10487	8861
271	10520	8818
272	10553	8774
273	10586	8731
274	10618	8687
275	10651	8644
276	10684	8601
277	10718	8559
278	10751	8516
279	10784	8473
280	10820	8433
281	10854	8391
282	10888	8349
283	10921	8306
284	10956	8265
285	10989	8223
286	11024	8182
287	11057	8139
288	11091	8097
289	11124	8055
290	11158	8013
291	11191	7972
292	11225	7930
293	11261	7890
294	11294	7849
295	11329	7808
296	11369	7771
297	11402	7729
298	11434	7686
299	11468	7645
300	11500	7603
301	11533	7561
302	11568	7521
303	11601	7479
304	11634	7438
305	11667	7397
306	11701	7356
307	11735	7315
308	11768	7274
309	11802	7233
310	11836	7193
311	11868	7151
312	11901	7110
313	11933	7068
314	11966	7027
315	12000	6987
316	12033	6947
317	12066	6906
318	12101	6866
319	12133	6825
320	12168	6785
