iter	Passed	Remaining
0	95	95090
1	121	60674
2	147	49136
3	174	43344
4	200	39880
5	226	37594
6	252	35772
7	278	34518
8	303	33421
9	329	32665
10	354	31900
11	379	31264
12	404	30708
13	462	32592
14	490	32227
15	521	32066
16	556	32195
17	584	31874
18	599	30930
19	611	29973
20	624	29105
21	634	28220
22	646	27460
23	657	26736
24	667	26050
25	679	25443
26	689	24860
27	700	24312
28	711	23821
29	722	23370
30	733	22932
31	744	22517
32	754	22120
33	765	21754
34	775	21395
35	786	21072
36	797	20751
37	808	20460
38	820	20215
39	830	19941
40	841	19681
41	852	19456
42	869	19342
43	879	19119
44	890	18896
45	901	18687
46	912	18501
47	923	18309
48	934	18135
49	945	17957
50	955	17781
51	973	17749
52	1010	18058
53	1046	18324
54	1096	18845
55	1128	19026
56	1158	19166
57	1186	19262
58	1214	19372
59	1243	19483
60	1274	19622
61	1304	19740
62	1331	19802
63	1384	20247
64	1395	20078
65	1406	19907
66	1417	19743
67	1428	19578
68	1439	19417
69	1450	19264
70	1460	19106
71	1470	18958
72	1484	18854
73	1506	18856
74	1535	18932
75	1559	18957
76	1571	18831
77	1583	18716
78	1597	18625
79	1628	18723
80	1659	18830
81	1690	18922
82	1720	19009
83	1747	19056
84	1762	18977
85	1774	18856
86	1785	18740
87	1797	18623
88	1807	18504
89	1819	18393
90	1830	18287
91	1858	18343
92	1871	18249
93	1906	18370
94	1946	18544
95	2045	19265
96	2087	19436
97	2132	19623
98	2178	19825
99	2229	20062
100	2273	20237
101	2312	20355
102	2350	20472
103	2393	20621
104	2423	20654
105	2448	20648
106	2472	20631
107	2500	20652
108	2521	20612
109	2536	20521
110	2549	20420
111	2565	20338
112	2582	20269
113	2604	20241
114	2623	20191
115	2644	20150
116	2663	20101
117	2682	20048
118	2703	20011
119	2721	19959
120	2748	19964
121	2774	19967
122	2793	19917
123	2821	19935
124	2840	19883
125	2858	19827
126	2874	19759
127	2888	19678
128	2900	19582
129	2911	19481
130	2922	19384
131	2933	19286
132	2944	19193
133	2955	19100
134	2967	19010
135	2977	18916
136	2990	18835
137	3021	18874
138	3033	18788
139	3043	18698
140	3055	18613
141	3069	18545
142	3083	18478
143	3094	18395
144	3106	18315
145	3118	18238
146	3129	18161
147	3141	18084
148	3152	18006
149	3164	17932
150	3176	17857
151	3188	17786
152	3199	17710
153	3210	17634
154	3221	17562
155	3238	17520
156	3261	17514
157	3273	17444
158	3297	17442
159	3314	17402
160	3326	17336
161	3352	17341
162	3365	17281
163	3376	17213
164	3394	17176
165	3406	17116
166	3436	17141
167	3466	17166
168	3493	17176
169	3525	17212
170	3537	17149
171	3548	17080
172	3559	17014
173	3570	16949
174	3581	16882
175	3592	16818
176	3603	16755
177	3614	16693
178	3625	16630
179	3637	16572
180	3648	16509
181	3660	16450
182	3671	16389
183	3682	16330
184	3692	16268
185	3704	16212
186	3715	16153
187	3727	16097
188	3738	16041
189	3749	15983
190	3760	15927
191	3771	15871
192	3782	15815
193	3793	15758
194	3804	15706
195	3815	15650
196	3827	15599
197	3837	15544
198	3849	15494
199	3877	15508
200	3903	15518
201	3931	15531
202	3947	15496
203	3959	15451
204	3971	15400
205	3981	15347
206	3992	15296
207	4004	15246
208	4015	15195
209	4026	15149
210	4037	15098
211	4048	15048
212	4059	14999
213	4071	14954
214	4082	14904
215	4093	14857
216	4105	14812
217	4115	14764
218	4126	14717
219	4137	14669
220	4148	14623
221	4159	14576
222	4170	14530
223	4181	14484
224	4191	14439
225	4203	14396
226	4215	14354
227	4227	14313
228	4237	14268
229	4249	14225
230	4260	14182
231	4271	14140
232	4282	14096
233	4293	14053
234	4303	14010
235	4315	13969
236	4325	13926
237	4337	13885
238	4348	13844
239	4359	13805
240	4382	13802
241	4394	13765
242	4417	13761
243	4436	13747
244	4460	13744
245	4482	13739
246	4510	13750
247	4522	13714
248	4534	13675
249	4547	13643
250	4560	13608
251	4573	13576
252	4587	13544
253	4602	13516
254	4625	13514
255	4646	13505
256	4666	13490
257	4684	13472
258	4705	13463
259	4724	13446
260	4743	13431
261	4763	13417
262	4795	13439
263	4813	13420
264	4836	13413
265	4855	13397
266	4871	13374
267	4888	13352
268	4899	13315
269	4911	13278
270	4922	13241
271	4933	13204
272	4944	13166
273	4955	13131
274	4968	13097
275	5052	13253
276	5082	13266
277	5094	13230
278	5105	13192
279	5116	13157
280	5127	13119
281	5139	13084
282	5150	13048
283	5161	13012
284	5172	12977
285	5184	12943
286	5196	12909
287	5207	12874
288	5219	12841
289	5231	12808
290	5242	12773
291	5254	12739
292	5265	12705
293	5276	12671
294	5288	12638
295	5300	12605
296	5311	12572
297	5322	12538
298	5333	12504
299	5345	12471
300	5356	12438
301	5366	12403
302	5377	12370
303	5389	12338
304	5401	12307
305	5412	12274
306	5423	12242
307	5434	12210
308	5446	12179
309	5457	12148
310	5494	12171
311	5527	12188
312	5554	12192
313	5585	12203
314	5597	12172
315	5609	12141
316	5620	12109
317	5632	12079
318	5643	12048
319	5655	12018
320	5667	11988
321	5678	11957
322	5690	11927
323	5702	11897
324	5712	11865
325	5724	11835
326	5735	11803
327	5745	11772
328	5757	11743
329	5769	11712
330	5780	11682
331	5793	11657
332	5812	11642
333	5825	11616
334	5837	11587
335	5850	11560
336	5862	11534
337	5874	11505
338	5886	11477
339	5897	11447
340	5908	11418
341	5920	11390
342	5931	11360
343	5942	11332
344	5954	11304
345	5966	11277
346	5978	11250
347	5990	11223
348	6012	11215
349	6039	11217
350	6067	11219
351	6082	11197
352	6096	11173
353	6106	11144
354	6118	11116
355	6131	11091
356	6143	11064
357	6154	11036
358	6165	11009
359	6177	10982
360	6189	10955
361	6201	10929
362	6213	10903
363	6224	10876
364	6236	10849
365	6247	10822
366	6258	10794
367	6271	10771
368	6301	10775
369	6329	10776
370	6352	10769
371	6364	10744
372	6376	10719
373	6388	10693
374	6401	10669
375	6413	10643
376	6424	10616
377	6436	10590
378	6448	10565
379	6462	10543
380	6476	10522
381	6493	10504
382	6507	10483
383	6521	10462
384	6534	10438
385	6546	10413
386	6565	10399
387	6577	10374
388	6589	10350
389	6600	10324
390	6612	10299
391	6623	10273
392	6636	10250
393	6647	10224
394	6658	10198
395	6669	10172
396	6681	10148
397	6692	10123
398	6704	10099
399	6719	10079
400	6736	10063
401	6753	10046
402	6771	10030
403	6789	10016
404	6811	10006
405	6842	10010
406	6865	10002
407	6889	9995
408	6908	9982
409	6927	9969
410	6949	9959
411	6982	9965
412	6995	9943
413	7007	9918
414	7018	9892
415	7062	9914
416	7073	9888
417	7084	9864
418	7096	9839
419	7108	9816
420	7121	9794
421	7133	9770
422	7144	9745
423	7156	9721
424	7167	9697
425	7179	9674
426	7204	9668
427	7217	9645
428	7229	9622
429	7240	9597
430	7251	9573
431	7262	9548
432	7273	9523
433	7285	9500
434	7296	9477
435	7308	9454
436	7320	9430
437	7332	9408
438	7343	9384
439	7355	9361
440	7367	9339
441	7380	9318
442	7398	9302
443	7419	9291
444	7446	9287
445	7511	9330
446	7582	9380
447	7631	9403
448	7678	9423
449	7697	9408
450	7713	9389
451	7724	9365
452	7736	9342
453	7747	9318
454	7758	9293
455	7770	9269
456	7782	9247
457	7795	9225
458	7807	9202
459	7825	9186
460	7839	9165
461	7860	9153
462	7881	9141
463	7906	9133
464	7941	9137
465	7991	9157
466	8013	9145
467	8033	9132
468	8051	9115
469	8064	9093
470	8077	9072
471	8094	9054
472	8110	9036
473	8137	9029
474	8153	9011
475	8165	8988
476	8179	8967
477	8192	8946
478	8204	8924
479	8225	8910
480	8242	8894
481	8301	8921
482	8321	8907
483	8338	8889
484	8355	8872
485	8369	8852
486	8382	8829
487	8393	8806
488	8404	8782
489	8415	8759
490	8430	8739
491	8447	8722
492	8465	8705
493	8477	8683
494	8489	8661
495	8501	8638
496	8515	8617
497	8534	8603
498	8555	8590
499	8577	8577
500	8595	8561
501	8617	8548
502	8648	8545
503	8676	8538
504	8704	8531
505	8728	8521
506	8745	8503
507	8775	8499
508	8810	8498
509	8833	8487
510	8846	8465
511	8857	8442
512	8870	8420
513	8882	8398
514	8920	8400
515	8948	8393
516	8959	8370
517	8972	8348
518	8983	8325
519	8994	8302
520	9006	8279
521	9043	8281
522	9063	8266
523	9075	8244
524	9087	8221
525	9098	8198
526	9110	8177
527	9124	8156
528	9135	8134
529	9147	8111
530	9159	8090
531	9171	8067
532	9182	8045
533	9194	8023
534	9205	8001
535	9216	7978
536	9227	7956
537	9239	7934
538	9251	7912
539	9263	7891
540	9275	7869
541	9286	7847
542	9298	7825
543	9308	7803
544	9323	7784
545	9347	7772
546	9358	7750
547	9370	7728
548	9381	7706
549	9396	7688
550	9414	7672
551	9428	7652
552	9440	7631
553	9454	7611
554	9489	7608
555	9534	7614
556	9558	7602
557	9570	7580
558	9581	7559
559	9593	7537
560	9604	7515
561	9615	7494
562	9627	7472
563	9644	7455
564	9656	7434
565	9668	7413
566	9680	7392
567	9692	7371
568	9706	7352
569	9738	7346
570	9757	7330
571	9778	7317
572	9805	7307
573	9828	7294
574	9859	7287
575	9878	7271
576	9895	7254
577	9911	7236
578	9922	7215
579	9934	7194
580	9947	7173
581	9959	7152
582	9970	7131
583	9982	7110
584	10002	7096
585	10014	7075
586	10035	7060
587	10046	7039
588	10058	7018
589	10069	6997
590	10081	6976
591	10092	6955
592	10115	6942
593	10126	6921
594	10138	6900
595	10149	6879
596	10160	6858
597	10171	6837
598	10182	6816
599	10193	6795
600	10205	6775
601	10216	6754
602	10227	6733
603	10239	6712
604	10250	6692
605	10261	6671
606	10273	6651
607	10285	6631
608	10296	6610
609	10308	6590
610	10321	6571
611	10340	6555
612	10353	6536
613	10365	6516
614	10376	6496
615	10394	6479
616	10408	6460
617	10423	6443
618	10436	6423
619	10448	6403
620	10460	6384
621	10473	6364
622	10497	6352
623	10508	6332
624	10520	6312
625	10532	6292
626	10546	6273
627	10561	6256
628	10574	6237
629	10586	6217
630	10597	6197
631	10610	6177
632	10625	6160
633	10637	6140
634	10648	6120
635	10660	6101
636	10673	6082
637	10684	6062
638	10696	6042
639	10707	6022
640	10718	6003
641	10730	5983
642	10741	5963
643	10753	5944
644	10765	5925
645	10776	5905
646	10788	5885
647	10798	5866
648	10810	5846
649	10821	5826
650	10832	5807
651	10844	5787
652	10855	5768
653	10866	5749
654	10887	5734
655	10899	5715
656	10910	5696
657	10922	5677
658	10934	5658
659	10945	5638
660	10957	5619
661	10968	5600
662	10979	5580
663	10991	5561
664	11002	5542
665	11034	5533
666	11070	5527
667	11091	5512
668	11104	5493
669	11116	5475
670	11127	5456
671	11138	5436
672	11150	5417
673	11161	5398
674	11172	5379
675	11188	5362
676	11199	5343
677	11226	5331
678	11244	5316
679	11257	5297
680	11293	5290
681	11305	5271
682	11326	5256
683	11338	5238
684	11351	5220
685	11364	5201
686	11378	5184
687	11392	5166
688	11404	5147
689	11416	5129
690	11428	5110
691	11441	5092
692	11456	5075
693	11486	5064
694	11521	5056
695	11552	5045
696	11587	5037
697	11616	5025
698	11646	5015
699	11671	5002
700	11688	4985
701	11700	4966
702	11713	4948
703	11725	4929
704	11738	4911
705	11749	4892
706	11765	4876
707	11778	4857
708	11790	4839
709	11802	4820
710	11815	4802
711	11832	4786
712	11850	4770
713	11865	4752
714	11883	4736
715	11899	4719
716	11916	4703
717	11932	4686
718	11952	4671
719	11969	4654
720	11987	4638
721	12007	4623
722	12024	4606
723	12038	4589
724	12076	4580
725	12096	4565
726	12120	4551
727	12148	4538
728	12171	4524
729	12193	4510
730	12214	4494
731	12233	4478
732	12247	4461
733	12258	4442
734	12270	4424
735	12282	4405
736	12293	4386
737	12304	4368
738	12316	4349
739	12328	4331
740	12341	4313
741	12358	4297
742	12371	4279
743	12384	4261
744	12401	4244
745	12418	4228
746	12436	4211
747	12457	4196
748	12469	4178
749	12505	4168
750	12544	4159
751	12572	4146
752	12598	4132
753	12631	4121
754	12659	4108
755	12685	4094
756	12715	4081
757	12751	4070
758	12780	4058
759	12807	4044
760	12876	4043
761	12918	4034
762	12948	4022
763	12960	4003
764	12972	3984
765	12984	3966
766	12995	3947
767	13008	3929
768	13042	3917
769	13091	3910
770	13103	3891
771	13113	3872
772	13125	3854
773	13137	3836
774	13148	3817
775	13167	3800
776	13193	3786
777	13204	3767
778	13216	3749
779	13227	3730
780	13238	3712
781	13251	3694
782	13262	3675
783	13273	3657
784	13289	3639
785	13301	3621
786	13312	3603
787	13324	3584
788	13336	3566
789	13351	3549
790	13363	3530
791	13374	3512
792	13385	3494
793	13396	3475
794	13409	3457
795	13420	3439
796	13433	3421
797	13444	3403
798	13456	3385
799	13469	3367
800	13506	3355
801	13536	3341
802	13567	3328
803	13589	3312
804	13604	3295
805	13615	3277
806	13626	3258
807	13638	3240
808	13649	3222
809	13660	3204
810	13672	3186
811	13683	3168
812	13695	3150
813	13706	3131
814	13717	3113
815	13729	3095
816	13740	3077
817	13751	3059
818	13762	3041
819	13776	3024
820	13787	3006
821	13800	2988
822	13812	2970
823	13823	2952
824	13835	2934
825	13847	2916
826	13860	2899
827	13874	2882
828	13890	2865
829	13902	2847
830	13913	2829
831	13924	2811
832	13935	2793
833	13947	2776
834	13958	2758
835	13969	2740
836	13980	2722
837	13991	2704
838	14003	2687
839	14020	2670
840	14034	2653
841	14046	2635
842	14058	2618
843	14079	2602
844	14090	2584
845	14102	2567
846	14122	2550
847	14134	2533
848	14144	2515
849	14156	2498
850	14178	2482
851	14189	2464
852	14200	2447
853	14219	2431
854	14231	2413
855	14242	2396
856	14253	2378
857	14275	2362
858	14287	2345
859	14298	2327
860	14315	2311
861	14332	2294
862	14343	2277
863	14364	2261
864	14376	2243
865	14388	2226
866	14399	2208
867	14410	2191
868	14422	2174
869	14433	2156
870	14445	2139
871	14457	2122
872	14468	2104
873	14480	2087
874	14492	2070
875	14503	2053
876	14515	2035
877	14527	2018
878	14539	2001
879	14550	1984
880	14563	1967
881	14582	1950
882	14594	1933
883	14607	1916
884	14618	1899
885	14629	1882
886	14641	1865
887	14653	1848
888	14666	1831
889	14677	1814
890	14688	1796
891	14700	1779
892	14711	1762
893	14723	1745
894	14734	1728
895	14745	1711
896	14757	1694
897	14768	1677
898	14779	1660
899	14790	1643
900	14802	1626
901	14815	1609
902	14826	1592
903	14846	1576
904	14862	1560
905	14884	1544
906	14903	1528
907	14929	1512
908	14944	1496
909	14956	1479
910	14968	1462
911	14979	1445
912	14990	1428
913	15002	1411
914	15013	1394
915	15071	1382
916	15097	1366
917	15109	1349
918	15121	1332
919	15133	1315
920	15145	1299
921	15156	1282
922	15167	1265
923	15179	1248
924	15190	1231
925	15201	1214
926	15212	1197
927	15223	1181
928	15234	1164
929	15247	1147
930	15259	1130
931	15270	1114
932	15281	1097
933	15293	1080
934	15305	1063
935	15318	1047
936	15329	1030
937	15340	1013
938	15352	997
939	15363	980
940	15374	963
941	15386	947
942	15397	930
943	15409	914
944	15421	897
945	15437	881
946	15448	864
947	15459	848
948	15472	831
949	15485	815
950	15517	799
951	15550	784
952	15578	768
953	15605	752
954	15616	735
955	15628	719
956	15639	702
957	15650	686
958	15661	669
959	15673	653
960	15684	636
961	15696	620
962	15707	603
963	15719	587
964	15730	570
965	15741	554
966	15753	537
967	15764	521
968	15777	504
969	15788	488
970	15801	471
971	15813	455
972	15826	439
973	15837	422
974	15849	406
975	15860	390
976	15871	373
977	15882	357
978	15894	340
979	15906	324
980	15919	308
981	15930	292
982	15941	275
983	15952	259
984	15963	243
